run,initial_dist,final_dist,min_dist,path_length,hw_activations
1,0.3360178566683622,0.46997553127795916,0.2958513140075602,149.98996948875623,0
2,0.3608074278614563,0.34142934847490775,0.3096223506144219,149.99000937972744,0
3,0.6878720811313684,0.17418381095842403,0.010862780491200215,149.989990346134,0
4,0.47293445634675424,0.5284666498465158,0.47293445634675424,149.9899712574137,0
5,0.24183878927913943,0.18486211077449052,0.07368853370776215,149.99001207292977,0
6,0.5898737152984527,0.10851267207105353,0.006164414002968977,149.9899847555834,0
7,0.6556859004126899,0.5509773135075527,0.4037152461822565,149.9900386180547,0
8,0.5993070999078853,0.07919595949289332,0.03481379037105842,149.98999610464793,0
9,0.2421941370058326,0.1022154587134451,0.007211102550927978,149.98999390714116,0
10,0.47342475642915,0.20072119967756272,0.02097617696340303,149.98999849855824,0
